Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.15,-.27,-.04,-.35,-.11,-.01,-.80,-.46,-.26,-.14,-.09,-.03,.05,.65
1881,-.07,-.17,.01,-.33,.11,-.06,-.90,-.43,-.19,.10,.12,-.04,-.07,.58
1882,-.10,-.21,.00,-.30,-.04,.02,-1.40,-.25,-.15,-.05,-.03,.02,.04,.61
1883,-.17,-.28,-.06,-.35,-.16,-.01,-.18,-.54,-.27,-.17,-.14,-.03,.07,.48
1884,-.28,-.43,-.14,-.60,-.14,-.14,-1.30,-.63,-.47,-.13,-.15,-.19,-.02,.63
1885,-.33,-.43,-.24,-.65,-.12,-.27,-1.51,-.67,-.46,-.06,-.19,-.33,-.15,.80
1886,-.31,-.43,-.19,-.57,-.19,-.21,-1.59,-.50,-.40,-.21,-.17,-.20,-.20,.57
1887,-.36,-.43,-.28,-.52,-.29,-.28,-1.76,-.50,-.29,-.29,-.29,-.27,-.26,.30
1888,-.17,-.23,-.11,-.42,.11,-.29,-1.30,-.42,-.25,.07,.14,-.31,-.23,.14
1889,-.10,-.17,-.03,-.29,.09,-.16,-.68,-.22,-.27,.03,.16,-.15,-.15,.43
1890,-.34,-.38,-.31,-.45,-.36,-.22,-1.13,-.55,-.27,-.26,-.45,-.17,-.27,.13
1891,-.22,-.26,-.19,-.43,-.07,-.21,-1.12,-.34,-.37,.02,-.15,-.18,-.24,-.18
1892,-.27,-.39,-.15,-.44,-.28,-.08,-1.15,-.66,-.17,-.32,-.25,.02,-.21,.07
1893,-.31,-.47,-.15,-.52,-.35,-.05,-.70,-.55,-.47,-.41,-.29,.07,-.20,-.06
1894,-.30,-.39,-.21,-.33,-.33,-.24,-.95,-.33,-.19,-.47,-.18,-.15,-.35,-.40
1895,-.22,-.30,-.14,-.41,-.06,-.26,-.67,-.53,-.27,-.13,.01,-.19,-.32,-.60
1896,-.11,-.19,-.02,-.35,.10,-.15,-.88,-.37,-.23,.06,.15,-.14,-.13,.23
1897,-.11,-.16,-.05,-.36,.17,-.23,-.56,-.47,-.24,.14,.21,-.18,-.27,.38
1898,-.27,-.29,-.26,-.36,-.21,-.26,-1.17,-.24,-.24,-.18,-.25,-.27,-.21,.36
1899,-.17,-.21,-.13,-.25,-.11,-.18,-1.07,-.11,-.15,-.15,-.07,-.14,-.22,.56
1900,-.08,-.09,-.06,-.21,.17,-.30,-.58,-.17,-.16,.09,.26,-.28,-.29,.25
1901,-.16,-.13,-.18,-.17,-.03,-.30,-.45,-.12,-.14,-.05,-.01,-.27,-.34,.24
1902,-.28,-.33,-.22,-.54,-.03,-.35,-1.42,-.52,-.32,-.02,-.05,-.28,-.43,-.07
1903,-.37,-.38,-.36,-.48,-.28,-.38,-.30,-.43,-.56,-.23,-.33,-.35,-.40,-.49
1904,-.47,-.48,-.45,-.51,-.45,-.44,-.19,-.60,-.55,-.43,-.47,-.37,-.49,-1.32
1905,-.26,-.29,-.22,-.41,-.08,-.35,-.08,-.24,-.62,-.11,-.04,-.32,-.37,-.33
1906,-.22,-.24,-.20,-.26,-.18,-.23,-.28,-.07,-.39,-.21,-.15,-.20,-.22,-.71
1907,-.38,-.48,-.29,-.60,-.30,-.29,-.60,-.74,-.52,-.30,-.29,-.20,-.37,-1.20
1908,-.42,-.46,-.39,-.49,-.43,-.35,-.26,-.56,-.51,-.42,-.44,-.28,-.48,.68
1909,-.48,-.49,-.47,-.54,-.46,-.44,-.78,-.64,-.44,-.43,-.50,-.37,-.52,-.57
1910,-.43,-.44,-.42,-.42,-.47,-.38,-.60,-.25,-.49,-.47,-.48,-.33,-.45,.16
1911,-.44,-.42,-.45,-.43,-.41,-.48,-.31,-.43,-.47,-.41,-.41,-.43,-.53,.05
1912,-.36,-.46,-.24,-.60,-.17,-.36,-.54,-.80,-.50,-.26,-.07,-.36,-.29,-1.63
1913,-.34,-.42,-.25,-.45,-.26,-.35,-.52,-.34,-.51,-.38,-.13,-.28,-.40,-1.04
1914,-.15,-.19,-.10,-.26,-.05,-.18,-.39,-.17,-.28,-.10,.01,-.15,-.18,-.36
1915,-.14,-.14,-.13,-.24,.00,-.22,-.62,-.17,-.18,-.01,.00,-.15,-.23,-1.98
1916,-.36,-.42,-.30,-.38,-.44,-.23,-.50,-.55,-.24,-.49,-.39,-.23,-.17,-1.05
1917,-.46,-.58,-.35,-.51,-.63,-.19,-.84,-.51,-.43,-.69,-.57,-.23,-.09,.06
1918,-.30,-.40,-.19,-.41,-.33,-.14,-1.03,-.28,-.34,-.38,-.27,-.06,-.23,-.28
1919,-.28,-.35,-.20,-.44,-.20,-.22,-.72,-.56,-.30,-.23,-.17,-.14,-.32,.20
1920,-.27,-.30,-.24,-.25,-.25,-.32,-.03,-.21,-.35,-.37,-.12,-.19,-.48,-1.14
1921,-.19,-.11,-.26,.01,-.25,-.31,-.03,.17,-.09,-.29,-.21,-.23,-.38,-.84
1922,-.29,-.28,-.30,-.25,-.32,-.27,-.34,-.41,-.13,-.32,-.32,-.24,-.28,-.28
1923,-.27,-.22,-.31,-.16,-.30,-.34,.14,-.16,-.25,-.31,-.28,-.26,-.41,-.55
1924,-.27,-.19,-.36,-.14,-.26,-.43,.44,-.26,-.22,-.26,-.25,-.39,-.45,-.53
1925,-.22,-.14,-.30,-.04,-.24,-.38,-.10,.17,-.18,-.27,-.21,-.24,-.55,-.86
1926,-.11,.02,-.22,.02,.02,-.40,.55,.15,-.21,.02,.02,-.35,-.45,-.64
1927,-.22,-.13,-.30,-.13,-.16,-.38,.01,-.22,-.12,-.13,-.18,-.30,-.45,-1.38
1928,-.20,-.10,-.30,-.07,-.16,-.40,.70,-.17,-.22,-.14,-.17,-.29,-.48,-2.12
1929,-.36,-.33,-.39,-.38,-.28,-.46,.13,-.62,-.38,-.27,-.29,-.43,-.44,-1.08
1930,-.16,-.01,-.29,.04,-.11,-.42,.52,.04,-.10,-.09,-.12,-.33,-.47,-2.60
1931,-.09,.05,-.22,.01,.08,-.43,.55,-.05,-.14,.12,.05,-.42,-.40,-.41
1932,-.16,-.05,-.26,.03,-.16,-.35,.47,.19,-.21,-.17,-.14,-.21,-.53,-.99
1933,-.29,-.25,-.32,-.24,-.28,-.34,-.17,-.47,-.12,-.27,-.28,-.22,-.48,-1.15
1934,-.12,.00,-.25,.17,-.24,-.26,.87,.30,-.12,-.24,-.24,-.15,-.38,-.57
1935,-.20,-.09,-.30,-.05,-.17,-.38,.34,-.05,-.16,-.15,-.20,-.30,-.42,-1.71
1936,-.15,-.03,-.26,-.03,-.12,-.30,.38,.10,-.25,-.03,-.21,-.27,-.33,-.03
1937,-.03,.12,-.18,.20,-.05,-.22,1.23,.02,-.03,.02,-.12,-.19,-.26,.36
1938,.00,.16,-.18,.38,-.22,-.10,1.49,.38,.03,-.16,-.28,-.06,-.11,-.87
1939,-.01,.09,-.12,.22,-.11,-.12,.55,.28,.08,-.10,-.13,-.04,-.19,-1.60
1940,.13,.18,.09,.11,.29,-.07,.99,-.02,-.10,.29,.29,.03,-.20,-.05
1941,.19,.23,.17,.01,.50,-.05,.00,-.10,.08,.56,.44,.04,-.15,-.47
1942,.07,.13,.01,.13,.08,-.01,.72,-.07,.06,.13,.04,.06,-.05,-.90
1943,.09,.18,-.01,.37,-.08,.04,1.41,.28,.10,-.10,-.06,.07,.00,1.14
1944,.20,.27,.15,.38,.19,.05,1.17,.47,.09,.12,.27,.19,-.10,-.94
1945,.09,.10,.09,.10,.17,-.03,.63,-.03,.03,.10,.24,.04,.00,-1.77
1946,-.07,.03,-.17,.06,-.05,-.24,-.04,-.05,.16,-.02,-.07,-.22,-.24,-.16
1947,-.03,.08,-.13,.15,-.06,-.16,1.06,-.14,.04,-.03,-.09,-.19,-.08,-.21
1948,-.11,-.02,-.20,.12,-.18,-.24,.11,.31,.00,-.23,-.14,-.19,-.19,-1.37
1949,-.11,-.03,-.20,.11,-.19,-.23,.20,.17,.05,-.23,-.15,-.18,-.15,-1.97
1950,-.18,-.15,-.21,-.05,-.29,-.14,.19,-.31,.04,-.30,-.28,-.06,-.16,-.86
1951,-.07,.04,-.18,.08,-.06,-.23,.08,.01,.12,.00,-.12,-.22,-.16,-.70
1952,.01,.06,-.04,.11,.02,-.09,.27,-.10,.19,-.01,.04,-.10,-.02,-.50
1953,.08,.24,-.08,.35,.07,-.18,1.02,.35,.14,.08,.06,-.08,-.24,-1.10
1954,-.13,-.02,-.26,.07,-.21,-.22,.80,-.21,.00,-.14,-.29,-.17,-.20,-.81
1955,-.14,-.09,-.21,.04,-.34,-.06,-.24,-.11,.23,-.30,-.39,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.00,.01,-.47,-.09,-.28,-.38,-.14,.02,.76
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.06,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.20,-.15,-.16,.14,.12,.26,.15,-.08,-.08,-.53
1959,.03,.12,-.06,.16,.07,-.16,.49,.18,.04,.07,.08,-.03,-.26,-.36
1960,-.03,.08,-.13,.09,.02,-.20,.34,-.07,.11,.06,-.03,-.10,-.07,-.75
1961,.06,.08,.03,.19,-.04,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.07,.24,-.05,-.08,.44,.31,.14,-.05,-.05,.09,-.08,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.03
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.67,-.20,-.12,-.14,-.15,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.18,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.01
1966,-.06,-.02,-.09,-.14,.07,-.15,-.76,-.19,.09,.16,-.01,-.24,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.07,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.06
1969,.05,-.03,.14,-.29,.33,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.02,-.04,.09,-.11,.06,.11,-.22,-.13,-.07,.06,.06,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.01,-.10,-.29,-.22,.03,.16,.44
1972,.01,-.17,.20,-.34,.17,.14,-.36,-.47,-.24,.07,.27,.16,-.02,.45
1973,.16,.09,.23,.11,.19,.18,.07,.27,.02,.08,.30,.22,.08,.34
1974,-.07,-.18,.04,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.16,.21,-.08,.65
1975,-.01,-.05,.02,.12,-.23,.16,.10,.39,-.05,-.30,-.16,.13,.14,.29
1976,-.10,-.21,.01,-.26,-.11,.09,-.08,-.32,-.28,-.12,-.10,.10,.22,-.24
1977,.18,.12,.24,.14,.16,.25,.16,.24,.07,.10,.22,.22,.31,.28
1978,.07,.02,.12,-.03,.08,.16,-.16,.04,-.04,.10,.06,.21,.13,.04
1979,.17,.09,.25,-.03,.27,.23,-.60,.07,.09,.26,.28,.29,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.26,.02,.02,.33,.29,.35,.37,.58
1981,.32,.37,.27,.48,.19,.36,1.09,.79,.08,.22,.15,.28,.39,.60
1982,.14,.06,.23,-.08,.28,.18,-.40,.10,-.08,.25,.30,.18,.32,-.11
1983,.31,.25,.39,.22,.44,.24,.19,.69,-.07,.29,.58,.21,.41,.04
1984,.16,.04,.28,.02,.19,.26,.36,.08,-.14,.07,.30,.16,.32,.52
1985,.12,.00,.24,-.03,.09,.30,.39,-.26,-.02,.04,.15,.30,.44,.03
1986,.18,.13,.23,.11,.23,.20,.01,.28,.03,.18,.28,.25,.25,-.11
1987,.32,.25,.41,.04,.59,.25,-.36,.13,.12,.55,.63,.32,.25,.01
1988,.39,.37,.41,.40,.38,.39,.59,.57,.24,.32,.43,.38,.20,.87
1989,.27,.27,.28,.41,.13,.33,.33,.69,.25,.07,.20,.36,.30,.32
1990,.45,.53,.37,.63,.37,.37,.58,.89,.48,.38,.37,.38,.37,.36
1991,.41,.41,.40,.47,.37,.39,.75,.66,.26,.32,.41,.31,.29,.95
1992,.22,.14,.31,.09,.29,.27,-.17,.44,-.04,.20,.37,.20,.33,.39
1993,.23,.19,.28,.13,.32,.22,.54,.29,-.11,.29,.36,.27,.39,-.30
1994,.32,.37,.27,.43,.32,.21,.34,.50,.41,.28,.35,.27,.23,-.05
1995,.45,.58,.32,.70,.43,.22,1.31,.99,.31,.41,.45,.29,.15,.14
1996,.33,.26,.39,.23,.32,.43,.77,.17,.10,.31,.33,.33,.28,1.19
1997,.46,.52,.41,.53,.51,.33,.76,.91,.22,.50,.53,.42,.36,-.04
1998,.61,.70,.52,.78,.70,.32,.86,.94,.65,.60,.80,.39,.31,.12
1999,.38,.48,.28,.70,.21,.30,.40,.80,.73,.16,.26,.46,.19,.01
2000,.39,.50,.29,.70,.25,.28,.97,.80,.55,.21,.29,.42,.10,.23
2001,.54,.64,.43,.80,.42,.42,1.06,.86,.68,.40,.45,.58,.24,.27
2002,.63,.71,.54,.82,.60,.47,1.25,1.00,.57,.55,.64,.49,.32,.76
2003,.62,.75,.49,.84,.64,.37,1.49,.98,.53,.61,.67,.44,.24,.39
2004,.53,.66,.42,.72,.55,.33,.46,.95,.66,.56,.54,.48,.23,-.02
2005,.68,.85,.50,1.01,.62,.42,1.98,1.23,.56,.62,.62,.49,.19,.68
2006,.64,.81,.46,.98,.55,.40,1.73,1.06,.69,.56,.54,.51,.20,.46
2007,.66,.85,.47,1.13,.46,.47,2.11,1.32,.69,.44,.48,.50,.07,1.24
2008,.54,.68,.41,.91,.37,.40,1.53,1.08,.61,.33,.41,.53,.09,.62
2009,.66,.72,.59,.77,.68,.51,1.41,.60,.68,.65,.70,.60,.15,.97
2010,.72,.90,.55,1.02,.68,.48,2.21,.86,.73,.72,.65,.63,.20,.50
2011,.61,.74,.47,.98,.37,.55,2.34,.94,.57,.39,.35,.64,.18,1.06
2012,.65,.81,.48,1.04,.52,.42,2.21,.93,.73,.48,.57,.56,.19,.41
2013,.68,.80,.55,.94,.58,.54,1.54,1.05,.69,.58,.57,.63,.23,.88
2014,.75,.92,.57,1.07,.67,.52,2.03,1.14,.73,.69,.65,.72,.18,.55
2015,.90,1.17,.63,1.31,.96,.41,1.99,1.48,.99,.97,.94,.75,.18,-.32
2016,1.02,1.31,.73,1.54,1.01,.50,3.25,1.44,1.07,.96,1.07,.68,.26,.41
2017,.92,1.17,.67,1.39,.82,.60,2.52,1.38,1.03,.86,.77,.76,.35,.55
2018,.85,1.03,.66,1.24,.67,.69,2.14,1.09,1.05,.73,.62,.80,.38,.95
2019,.98,1.21,.75,1.42,.90,.65,2.71,1.44,.99,.91,.89,.75,.39,.81
2020,1.02,1.35,.69,1.67,.87,.57,2.90,1.82,1.19,.89,.85,.59,.39,.91
2021,.85,1.14,.56,1.42,.66,.53,2.03,1.36,1.26,.72,.59,.72,.32,.32
